"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 26 03:51:03 NOVT 2020","Sat Dec 26 03:51:04 NOVT 2020","974","","test_product_page","TestUserProductPage","","","test_user_should_see_page_checkout",""
"passed","Sat Dec 26 03:52:27 NOVT 2020","Sat Dec 26 03:52:31 NOVT 2020","3855","","test_product_page","TestProductParametrize","","","test_click_button_add_to_basket[hacking-exposed-wireless_209/]",""
"skipped","Sat Dec 26 03:51:30 NOVT 2020","Sat Dec 26 03:51:40 NOVT 2020","10101","","test_product_page","TestUserProductPage","","","test_user_should_see_empty_bucket",""
"passed","Sat Dec 26 03:52:16 NOVT 2020","Sat Dec 26 03:52:21 NOVT 2020","4615","","test_product_page","TestProductParametrize","","","test_click_button_add_to_basket[the-shellcoders-handbook_208/]",""
"passed","Sat Dec 26 03:52:08 NOVT 2020","Sat Dec 26 03:52:12 NOVT 2020","4114","","test_product_page","TestCreateNewUser","","","test_negative_register_new_user",""
"passed","Sat Dec 26 03:51:45 NOVT 2020","Sat Dec 26 03:51:52 NOVT 2020","7586","","test_product_page","TestCreateNewUser","","","test_register_new_user",""
"passed","Sat Dec 26 03:52:37 NOVT 2020","Sat Dec 26 03:52:40 NOVT 2020","3389","","test_product_page","TestProductParametrize","","","test_click_button_add_to_basket[coders-at-work_207/]",""
"passed","Sat Dec 26 03:50:15 NOVT 2020","Sat Dec 26 03:50:16 NOVT 2020","687","","test_product_page","TestGuestProductPage","","","test_guest_should_see_page_checkout",""
"skipped","Sat Dec 26 03:50:25 NOVT 2020","Sat Dec 26 03:50:36 NOVT 2020","10154","","test_product_page","TestGuestProductPage","","","test_guest_should_see_empty_bucket",""
"passed","Sat Dec 26 03:51:57 NOVT 2020","Sat Dec 26 03:52:02 NOVT 2020","5756","","test_product_page","TestCreateNewUser","","","test_user_login",""
